subject,body_text,url_count,has_urgency,label
Lunch reservation details (Ref: 607),"We successfully deployed the latest security patches to the production clusters. Thanks, Sarah.",0,0,0
Invoice Notification: Payment outstanding #83940,You have been selected to receive a promotional gift card. Claim your reward by logging in here. Click here: http://verification-amazon-support.net/login,3,1,1
Weekly Project Progress Update (Ref: 459),"We successfully deployed the latest security patches to the production clusters. Thanks, John.",1,0,0
PayPal Support: Unauthorized funds transfer request,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-amazon-support.net/login",2,0,1
Annual performance evaluation reminder (Ref: 580),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, Sarah.",1,0,0
Invoice Notification: Payment outstanding #83940,We detected unusual login attempts on your account. Please click the link to verify your identity immediately. Click here: http://verification-paypal-support.net/login,3,1,1
Feedback on code design patterns (Ref: 255),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, David.",1,0,0
Microsoft Account: Verify security settings now,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-amazon-support.net/login,3,1,1
Release notes for version 2.4.1 (Ref: 717),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, Alice.",1,0,0
URGENT: Verify your account activity immediately!,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-amazon-support.net/login,2,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 195),"Let's meet tomorrow at 10 AM to discuss task prioritization and sprint objectives. Thanks, Alice.",1,0,0
System Warning: Update password immediately!,We detected security restrictions on your credit card. Update your banking profile details to restore access. Click here: http://verification-chase-support.net/login,3,1,1
New repository pull request merged (Ref: 873),"This is a reminder to submit your self-assessment before the end-of-month review cycle. Thanks, David.",1,0,0
System Warning: Update password immediately!,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-amazon-support.net/login,1,1,1
Approved: Expense report #3904 (Ref: 286),"I booked a table for 5 at the corner grill for our team lunch tomorrow. Thanks, David.",0,0,0
Update Billing Information: Payment Restrict Alert,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-netflix-support.net/login",3,1,1
Agenda for Tomorrow's Standup Meeting (Ref: 800),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, David.",0,0,0
Invoice Notification: Payment outstanding #83940,"A transaction of $500.00 is pending verification. If you did not authorize this, log in here to cancel it. Click here: http://verification-chase-support.net/login",3,1,1
Approved: Expense report #3904 (Ref: 806),"Hi Team, please find attached the weekly spreadsheet covering our key performance indicators. Thanks, John.",0,0,0
PayPal Support: Unauthorized funds transfer request,We could not process your monthly membership. Please update your payment card information at the link below. Click here: http://verification-netflix-support.net/login,3,1,1
Quarterly financial report summary (Ref: 251),"We successfully deployed the latest security patches to the production clusters. Thanks, Sarah.",1,0,0
Security Alert: Unauthorized login attempts detected,Your recent invoice payment was declined. Update your billing credentials now to prevent account suspension. Click here: http://verification-amazon-support.net/login,1,1,1
Feedback on code design patterns (Ref: 451),"We successfully deployed the latest security patches to the production clusters. Thanks, David.",1,0,0
"Congratulations! You won a $1,000 reward voucher",Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-netflix-support.net/login,2,1,1
Lunch reservation details (Ref: 642),"We successfully deployed the latest security patches to the production clusters. Thanks, Sarah.",1,0,0
Invoice Notification: Payment outstanding #83940,"Your account is past due. To avoid immediate collection actions, pay your outstanding bill at this portal. Click here: http://verification-netflix-support.net/login",2,1,1
Weekly Project Progress Update (Ref: 665),"Merged PR #405: updates user session cookies validation handlers. Thanks, David.",1,0,0
System Warning: Update password immediately!,Someone accessed your profile from an unrecognized device in Russia. Verify your credentials below. Click here: http://verification-chase-support.net/login,2,1,1
Quarterly financial report summary (Ref: 654),"Your request for business travel expenses has been reviewed and approved by management. Thanks, Sarah.",0,0,0
Netflix: Your subscription has been suspended!,"To protect your privacy, we require verification of your email account status. Click below to continue. Click here: http://verification-netflix-support.net/login",3,1,1
Feedback on code design patterns (Ref: 336),"The recent refactor of the database layer looks clean. Great job on the transaction alignments. Thanks, John.",1,0,0
